split_A,image_A,split_B,image_B,SSIM
train,05022.jpg,test,02178.jpg,0.9870493234920515
train,04940.jpg,test,00925.jpg,0.9870368590602607
train,04940.jpg,test,02161.jpg,0.9870368590602607
train,04881.jpg,test,00917.jpg,0.9870362887579287
train,04881.jpg,test,02152.jpg,0.9870362887579287
train,05014.jpg,test,02174.jpg,0.98702415065674
train,05014.jpg,test,00934.jpg,0.98702415065674
train,01022.jpg,test,00402.jpg,0.9870239968216797
train,01022.jpg,test,01499.jpg,0.9870239968216797
train,05014.jpg,test,02175.jpg,0.9869852614639104
train,05014.jpg,test,00935.jpg,0.9869852614639104
train,04977.jpg,test,02164.jpg,0.9869228139300767
train,04977.jpg,test,00927.jpg,0.9869228139300767
train,00964.jpg,test,01488.jpg,0.9869135773849818
train,00964.jpg,test,00393.jpg,0.9869135773849818
train,04938.jpg,test,02160.jpg,0.9869028016050032
train,04938.jpg,test,00924.jpg,0.9869028016050032
train,04912.jpg,test,02158.jpg,0.9868752442699168
train,05178.jpg,test,00955.jpg,0.9868564139651953
train,05194.jpg,test,00954.jpg,0.9868339086311715
train,05194.jpg,test,02200.jpg,0.9868339086311715
train,01019.jpg,test,01500.jpg,0.9868218039054402
train,04944.jpg,test,00924.jpg,0.9867841934665427
train,04944.jpg,test,02160.jpg,0.9867841934665427
train,04937.jpg,test,02159.jpg,0.9867516495293466
train,04937.jpg,test,00923.jpg,0.9867516495293466
train,04886.jpg,test,00918.jpg,0.9866848863223626
train,04886.jpg,test,02153.jpg,0.9866848863223626
train,01020.jpg,test,01500.jpg,0.9866542719348004
train,05179.jpg,test,00954.jpg,0.9866132582662436
train,05179.jpg,test,02200.jpg,0.9866132582662436
train,05177.jpg,test,00954.jpg,0.9865254558597272
train,05177.jpg,test,02200.jpg,0.9865254558597272
train,00947.jpg,test,00392.jpg,0.9865240194281047
train,00947.jpg,test,01486.jpg,0.9865240194281047
train,04930.jpg,test,00923.jpg,0.9865240158116009
train,04930.jpg,test,02159.jpg,0.9865240158116009
train,00916.jpg,test,00390.jpg,0.986522526201905
train,00916.jpg,test,01474.jpg,0.986522526201905
train,04940.jpg,test,02163.jpg,0.9865192997476544
train,04938.jpg,test,00923.jpg,0.986519194044195
train,04938.jpg,test,02159.jpg,0.986519194044195
train,01024.jpg,test,01499.jpg,0.9865109616526372
train,01024.jpg,test,00402.jpg,0.9865109616526372
train,04985.jpg,test,02169.jpg,0.986484022398288
train,00888.jpg,test,00387.jpg,0.986483331004029
train,00888.jpg,test,01463.jpg,0.986483331004029
train,01168.jpg,test,01526.jpg,0.9864657942835299
train,01168.jpg,test,00430.jpg,0.9864657942835299
