image,GT,Predictions,TP,FP,FN,total_errors
00354.jpg,1,1,1,0,0,0
00355.jpg,1,1,1,0,0,0
00356.jpg,1,1,1,0,0,0
00357.jpg,1,1,1,0,0,0
00358.jpg,1,1,1,0,0,0
00359.jpg,1,1,1,0,0,0
00360.jpg,1,1,1,0,0,0
00361.jpg,1,1,1,0,0,0
00362.jpg,1,1,1,0,0,0
00363.jpg,1,1,1,0,0,0
00365.jpg,1,1,1,0,0,0
00366.jpg,1,1,1,0,0,0
00367.jpg,1,1,1,0,0,0
00368.jpg,1,1,1,0,0,0
00370.jpg,1,1,1,0,0,0
00371.jpg,1,1,1,0,0,0
00372.jpg,1,1,1,0,0,0
00373.jpg,1,1,1,0,0,0
00374.jpg,1,1,1,0,0,0
00375.jpg,1,1,1,0,0,0
00376.jpg,1,1,1,0,0,0
00377.jpg,1,1,1,0,0,0
00378.jpg,1,1,1,0,0,0
00379.jpg,1,1,1,0,0,0
00381.jpg,1,1,1,0,0,0
00382.jpg,1,1,1,0,0,0
00383.jpg,1,1,1,0,0,0
00384.jpg,1,1,1,0,0,0
00385.jpg,1,1,1,0,0,0
00386.jpg,1,1,1,0,0,0
00387.jpg,1,1,1,0,0,0
00388.jpg,1,1,1,0,0,0
00389.jpg,1,1,1,0,0,0
00390.jpg,1,1,1,0,0,0
00391.jpg,1,1,1,0,0,0
00392.jpg,1,1,1,0,0,0
00393.jpg,1,1,1,0,0,0
00394.jpg,1,1,1,0,0,0
00395.jpg,1,1,1,0,0,0
00396.jpg,1,1,1,0,0,0
00397.jpg,1,1,1,0,0,0
00398.jpg,1,1,1,0,0,0
00399.jpg,1,1,1,0,0,0
00400.jpg,1,1,1,0,0,0
00401.jpg,1,1,1,0,0,0
00402.jpg,1,1,1,0,0,0
00403.jpg,1,1,1,0,0,0
00404.jpg,1,1,1,0,0,0
00405.jpg,1,1,1,0,0,0
00406.jpg,1,1,1,0,0,0
00407.jpg,1,1,1,0,0,0
00408.jpg,1,1,1,0,0,0
00409.jpg,1,1,1,0,0,0
00410.jpg,1,1,1,0,0,0
00411.jpg,1,1,1,0,0,0
00412.jpg,1,1,1,0,0,0
00413.jpg,1,1,1,0,0,0
00414.jpg,1,1,1,0,0,0
00415.jpg,1,1,1,0,0,0
00416.jpg,1,1,1,0,0,0
00417.jpg,1,1,1,0,0,0
00418.jpg,1,1,1,0,0,0
00419.jpg,1,1,1,0,0,0
00420.jpg,1,1,1,0,0,0
00421.jpg,1,1,1,0,0,0
00422.jpg,1,1,1,0,0,0
00423.jpg,1,1,1,0,0,0
00424.jpg,1,1,1,0,0,0
00425.jpg,1,1,1,0,0,0
00426.jpg,1,1,1,0,0,0
00427.jpg,1,1,1,0,0,0
00428.jpg,1,1,1,0,0,0
00429.jpg,1,1,1,0,0,0
00431.jpg,1,1,1,0,0,0
00432.jpg,1,1,1,0,0,0
00433.jpg,1,1,1,0,0,0
00434.jpg,1,1,1,0,0,0
00435.jpg,1,1,1,0,0,0
00436.jpg,1,1,1,0,0,0
00437.jpg,1,1,1,0,0,0
00438.jpg,1,1,1,0,0,0
00439.jpg,1,1,1,0,0,0
00440.jpg,1,1,1,0,0,0
00442.jpg,1,1,1,0,0,0
00443.jpg,1,1,1,0,0,0
00444.jpg,1,1,1,0,0,0
00445.jpg,1,1,1,0,0,0
00446.jpg,1,1,1,0,0,0
00447.jpg,1,1,1,0,0,0
00448.jpg,1,1,1,0,0,0
00449.jpg,1,1,1,0,0,0
00450.jpg,1,1,1,0,0,0
00451.jpg,1,1,1,0,0,0
00452.jpg,1,1,1,0,0,0
00453.jpg,1,1,1,0,0,0
00454.jpg,1,1,1,0,0,0
00455.jpg,1,1,1,0,0,0
00456.jpg,1,1,1,0,0,0
00457.jpg,1,1,1,0,0,0
00458.jpg,1,1,1,0,0,0
00459.jpg,1,1,1,0,0,0
00460.jpg,1,1,1,0,0,0
00461.jpg,1,1,1,0,0,0
00462.jpg,1,1,1,0,0,0
00463.jpg,1,1,1,0,0,0
00464.jpg,1,1,1,0,0,0
00465.jpg,1,1,1,0,0,0
00466.jpg,1,1,1,0,0,0
00467.jpg,1,1,1,0,0,0
00468.jpg,1,1,1,0,0,0
00469.jpg,1,1,1,0,0,0
00470.jpg,1,1,1,0,0,0
00471.jpg,1,1,1,0,0,0
00472.jpg,1,1,1,0,0,0
00473.jpg,1,1,1,0,0,0
00474.jpg,1,1,1,0,0,0
00475.jpg,1,1,1,0,0,0
00476.jpg,1,1,1,0,0,0
00477.jpg,1,1,1,0,0,0
00478.jpg,1,1,1,0,0,0
00480.jpg,1,1,1,0,0,0
00481.jpg,1,1,1,0,0,0
